loan_id,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,bank_asset_value,loan_status
117,5800000,23200000,18,456,16100000,7500000, Rejected
118,600000,1600000,6,647,1500000,700000, Approved
119,7200000,15800000,12,379,12700000,3600000, Rejected
120,9100000,32900000,2,717,2200000,5900000, Approved
121,900000,2300000,16,545,100000,800000, Rejected
122,800000,3200000,8,317,300000,900000, Rejected
123,8500000,32900000,10,570,5100000,5500000, Approved
124,9000000,18700000,18,865,26800000,11300000, Approved
125,7000000,19500000,14,719,12200000,10200000, Approved
126,200000,600000,16,821,400000,100000, Approved
127,400000,800000,10,859,900000,200000, Approved
128,5100000,18200000,10,395,100000,6300000, Rejected
129,700000,2600000,12,429,1600000,800000, Rejected
130,400000,1200000,12,861,200000,200000, Approved
131,9500000,20800000,14,565,15100000,13400000, Approved
132,8800000,22600000,10,357,7900000,4900000, Rejected
133,1800000,3600000,18,465,600000,2600000, Rejected
134,6800000,13900000,8,479,11700000,9600000, Rejected
135,1500000,5500000,16,717,2100000,1300000, Approved
136,1600000,5500000,12,425,600000,900000, Rejected
137,4600000,16700000,2,786,200000,6100000, Approved
138,2200000,6700000,6,382,4400000,1100000, Rejected
139,2900000,8500000,12,564,1000000,1800000, Approved
140,200000,700000,8,501,500000,100000, Rejected
141,2500000,9400000,10,727,6600000,3300000, Approved
142,3600000,7500000,6,894,1100000,2800000, Approved
143,5500000,16700000,18,829,5500000,5900000, Approved
144,6600000,17400000,20,506,2600000,7200000, Rejected
145,8600000,32100000,6,802,9400000,9800000, Approved
146,600000,1500000,14,543,300000,300000, Rejected
147,1400000,3200000,20,772,2400000,1600000, Approved
148,4000000,11100000,12,572,9700000,2400000, Approved
149,4900000,11900000,16,709,14600000,3800000, Approved
150,2000000,6200000,18,402,4000000,1100000, Rejected
151,5200000,19300000,8,481,14300000,4200000, Rejected
152,8900000,28800000,6,772,13600000,8400000, Approved
153,6500000,20600000,2,306,15900000,3200000, Approved
154,1300000,4500000,6,415,0,1200000, Rejected
155,9400000,35000000,16,548,18200000,4800000, Rejected
156,5000000,11200000,8,701,9100000,4600000, Approved
157,3000000,7700000,12,890,4700000,2100000, Approved
158,9900000,33300000,6,364,5300000,8300000, Rejected
159,700000,1300000,20,704,1600000,600000, Approved
160,4000000,10600000,10,318,1500000,4900000, Rejected
161,3100000,9600000,2,761,5800000,4200000, Approved
162,4500000,15100000,6,693,3700000,6000000, Approved
163,9700000,20600000,16,524,24200000,6100000, Rejected
164,2000000,5300000,10,681,4900000,2900000, Approved
165,8100000,22300000,18,737,22300000,7300000, Approved
166,5700000,15900000,16,638,100000,4500000, Approved
167,5800000,12800000,2,656,500000,2800000, Approved
168,1800000,6500000,6,540,2500000,1100000, Rejected
169,9100000,35200000,6,341,1000000,8200000, Rejected
170,4800000,17500000,2,371,11700000,3500000, Approved
171,3800000,10500000,12,886,4000000,2300000, Approved
172,1900000,4100000,18,801,400000,1200000, Approved
173,3600000,9500000,16,748,7700000,2600000, Approved
174,7400000,28200000,8,376,21900000,5200000, Rejected
175,6600000,14300000,8,371,10800000,7400000, Rejected
176,1800000,5300000,6,826,4500000,1300000, Approved
177,9200000,27200000,12,873,4500000,11400000, Approved
178,2400000,8600000,8,309,500000,2800000, Rejected
179,5600000,13300000,20,869,3300000,6500000, Approved
180,3800000,13900000,12,534,4700000,2800000, Rejected
181,4500000,17900000,6,787,9800000,4200000, Approved
182,900000,2200000,16,566,100000,600000, Approved
183,2800000,9900000,8,742,4900000,1700000, Approved
184,7500000,23100000,4,824,12100000,9500000, Approved
185,1400000,3100000,14,575,3000000,1400000, Approved
186,3800000,10900000,10,766,1900000,3000000, Approved
187,1700000,5000000,10,888,2900000,2200000, Approved
188,9000000,30400000,6,638,16800000,9200000, Approved
189,7300000,23300000,6,622,7100000,10500000, Approved
190,7400000,19800000,18,458,12600000,4000000, Rejected
191,9000000,28200000,16,327,1700000,11200000, Rejected
192,3000000,6500000,2,612,8800000,1700000, Approved
193,800000,2900000,8,682,2200000,700000, Approved
194,4800000,13200000,2,583,13700000,5200000, Approved
195,6400000,18300000,8,697,10000000,3600000, Approved
196,9200000,27100000,12,306,5800000,9600000, Rejected
197,400000,1500000,2,669,-100000,500000, Approved
198,2800000,6000000,18,816,6300000,3400000, Approved
199,8500000,28900000,20,455,15200000,9400000, Rejected
200,4700000,16400000,10,318,11400000,4300000, Rejected
201,9800000,21200000,20,355,22000000,14400000, Rejected
202,3800000,8900000,16,389,200000,2200000, Rejected
203,500000,1500000,2,888,1500000,600000, Approved
204,6900000,15600000,6,352,13000000,10000000, Rejected
205,9600000,30100000,12,870,300000,5600000, Approved
206,2900000,6500000,18,827,8300000,3200000, Approved
207,9800000,20900000,12,768,3400000,13400000, Approved
208,7100000,15400000,18,707,10300000,5800000, Approved
209,7700000,19100000,10,355,11300000,6600000, Rejected
210,1400000,3300000,2,652,100000,1900000, Approved
211,7800000,15900000,2,665,14400000,5400000, Approved
212,1700000,6000000,18,420,500000,2300000, Rejected
213,8500000,32700000,18,471,12600000,12500000, Rejected
214,1900000,7500000,20,715,5100000,2800000, Approved
215,6700000,15200000,10,689,0,6800000, Approved
216,6900000,16400000,4,787,11100000,3800000, Approved
217,2600000,7800000,4,819,3100000,1500000, Approved
218,9600000,21100000,6,809,16100000,8700000, Approved
219,6800000,17000000,2,744,15500000,3500000, Approved
220,3200000,11300000,6,484,3500000,2100000, Rejected
221,2900000,10400000,6,673,5100000,1700000, Approved
222,7900000,21200000,18,695,13800000,4900000, Approved
223,3900000,12400000,12,473,6400000,3800000, Rejected
224,4600000,11000000,2,491,9000000,3500000, Rejected
225,700000,1700000,8,733,1200000,500000, Approved
226,5200000,15600000,20,434,14100000,5500000, Rejected
227,5900000,20600000,10,777,1900000,6400000, Approved
228,7200000,19100000,4,774,9400000,3600000, Approved
229,8700000,27000000,10,717,25500000,9100000, Approved
230,1100000,3500000,12,503,3000000,1200000, Rejected
231,4000000,10900000,14,598,3600000,4400000, Approved
232,9800000,32400000,2,543,24200000,7700000, Approved
233,2700000,6800000,20,796,700000,1900000, Approved
234,8800000,34600000,8,386,14800000,6000000, Rejected
235,3300000,7800000,16,632,8500000,4900000, Approved
236,6900000,23400000,4,481,18700000,10200000, Approved
237,900000,3500000,4,770,700000,600000, Rejected
238,4100000,15500000,6,667,2800000,4000000, Approved
239,4700000,17500000,8,585,1200000,4900000, Approved
240,3400000,11600000,16,479,9200000,2400000, Rejected
241,9600000,22500000,18,851,7400000,12700000, Approved
242,7000000,16200000,6,378,20000000,5500000, Rejected
243,5700000,12900000,18,807,4100000,5500000, Approved
244,8200000,32400000,18,831,22800000,7800000, Approved
245,2100000,5100000,12,674,2200000,2400000, Approved
246,8000000,28100000,18,725,1900000,7500000, Approved
247,8000000,29300000,4,600,16500000,6500000, Approved
248,9400000,27000000,10,536,4400000,4800000, Rejected
249,8400000,20600000,10,477,1500000,11900000, Rejected
250,1900000,5000000,6,560,1000000,1400000, Approved
251,4200000,16400000,20,539,9500000,3100000, Rejected
252,2600000,9100000,8,852,3700000,3300000, Approved
253,3700000,8500000,20,853,8300000,4900000, Approved
254,8800000,30900000,12,729,1700000,11400000, Approved
255,2100000,4700000,2,546,6000000,1500000, Rejected
256,900000,2400000,10,489,800000,500000, Rejected
257,9800000,35400000,6,869,14400000,10300000, Approved
258,8000000,20000000,2,502,4100000,9900000, Rejected
259,9800000,38800000,8,652,23200000,5400000, Approved
260,300000,1100000,8,789,400000,400000, Approved
261,2700000,8100000,4,325,5000000,3400000, Approved
262,7400000,19600000,2,716,4100000,4200000, Approved
263,9200000,34300000,18,523,25600000,8800000, Rejected
264,9500000,22200000,20,352,24500000,7000000, Rejected
265,3800000,14400000,2,345,3300000,4700000, Approved
266,8300000,19400000,18,649,2500000,11300000, Approved
267,2800000,7400000,18,666,100000,3400000, Approved
268,8600000,20900000,10,813,11300000,4800000, Approved
269,5400000,16800000,10,599,5300000,7600000, Approved
270,4200000,9400000,6,678,4700000,5700000, Approved
271,5200000,12200000,20,513,13400000,5400000, Rejected
272,9400000,27900000,4,870,1100000,10400000, Approved
273,8800000,20400000,8,483,3200000,11800000, Rejected
274,5900000,16700000,16,308,5800000,5300000, Rejected
275,1700000,4900000,16,591,4700000,1400000, Approved
276,7000000,23000000,10,886,14000000,3600000, Approved
277,1700000,4000000,6,829,0,1700000, Approved
278,1500000,4900000,12,651,1600000,800000, Approved
279,2000000,4700000,18,733,3700000,2800000, Approved
280,3900000,15500000,12,433,9500000,4600000, Rejected
281,900000,3600000,14,713,1300000,1200000, Approved
282,6900000,22500000,18,403,800000,6300000, Rejected
283,2800000,7800000,10,405,7800000,3400000, Rejected
284,6800000,19900000,10,516,16000000,8500000, Rejected
285,600000,1800000,8,417,1700000,800000, Rejected
286,4700000,14000000,6,468,11300000,4600000, Rejected
287,3000000,11800000,10,672,8700000,4100000, Approved
288,4000000,13900000,6,530,6000000,6000000, Rejected
289,3100000,11300000,14,824,3700000,4400000, Approved
290,7700000,25500000,12,549,18100000,7000000, Rejected
291,4300000,9300000,10,450,2100000,4100000, Rejected
292,5800000,19500000,20,431,13800000,3300000, Rejected
293,3600000,10700000,16,312,2300000,5200000, Rejected
294,2900000,7600000,8,320,8000000,3100000, Rejected
295,8800000,20200000,4,433,16000000,12400000, Rejected
296,300000,1000000,10,431,400000,100000, Rejected
297,8600000,28900000,8,516,9900000,6800000, Rejected
298,3500000,12000000,14,476,1100000,2900000, Rejected
299,800000,2600000,6,560,100000,1000000, Approved
300,8000000,27100000,12,674,14400000,6400000, Approved
301,9900000,38200000,6,573,17200000,5900000, Approved
302,3300000,6600000,6,331,6300000,2700000, Rejected
303,2000000,6700000,12,633,100000,2000000, Approved
304,4900000,12900000,18,877,1800000,3300000, Approved
305,9200000,23600000,12,656,1400000,4900000, Approved
306,7500000,18200000,6,782,7400000,4100000, Approved
307,9000000,29300000,4,531,10400000,5800000, Approved
308,1400000,4100000,8,455,3000000,2100000, Rejected
309,9600000,19900000,14,452,4200000,6600000, Rejected
310,8400000,33200000,14,474,19600000,11500000, Rejected
311,6400000,24400000,4,483,7800000,4500000, Approved
312,5900000,16800000,8,481,6900000,3300000, Rejected
313,2200000,5100000,20,859,3800000,3100000, Approved
314,5600000,14100000,14,696,9000000,6800000, Approved
315,9800000,28700000,6,778,16600000,11100000, Approved
316,4400000,14600000,4,499,1300000,5700000, Approved
317,2400000,4900000,4,888,6400000,3400000, Approved
318,4400000,10800000,12,674,9600000,5300000, Approved
319,3700000,13200000,4,802,9800000,4300000, Approved
320,2300000,7800000,8,540,1500000,2800000, Rejected
321,5900000,19600000,8,726,17400000,8000000, Approved
322,6400000,23500000,2,485,7300000,3900000, Approved
323,4900000,17100000,6,612,1300000,5000000, Approved
324,9500000,24200000,8,879,3100000,12700000, Approved
325,5700000,16400000,12,708,3700000,4400000, Approved
326,2700000,5700000,8,850,3500000,3900000, Approved
327,3900000,11300000,12,516,3100000,4600000, Rejected
328,7800000,28800000,12,465,4700000,7400000, Rejected
329,1100000,3200000,20,716,1800000,1500000, Approved
330,200000,600000,10,404,0,0, Rejected
331,4700000,10600000,20,512,8400000,7000000, Rejected
332,8200000,20600000,10,441,16100000,6100000, Rejected
333,4600000,18400000,2,555,7700000,4200000, Approved
334,1800000,7000000,18,466,2600000,1900000, Rejected
335,3200000,8600000,2,427,3900000,4700000, Rejected
336,5500000,20000000,14,593,15100000,4900000, Approved
337,7900000,18300000,10,731,4200000,8400000, Approved
338,4000000,10100000,16,451,7000000,3900000, Rejected
339,6800000,16900000,18,628,3600000,4900000, Approved
340,2700000,9400000,18,704,5300000,2400000, Approved
341,6800000,23500000,12,341,19300000,8500000, Rejected
342,8600000,21000000,8,465,11700000,9900000, Rejected
343,8000000,30100000,4,431,11900000,11500000, Approved
344,3700000,12600000,10,424,5400000,4400000, Rejected
345,2600000,5100000,14,678,500000,3100000, Approved
346,4200000,16800000,6,381,9600000,5900000, Rejected
347,8000000,28000000,10,449,18500000,3900000, Rejected
348,7100000,23500000,12,768,6400000,7300000, Approved
349,2000000,7000000,6,666,0,1400000, Rejected
350,5800000,13300000,14,742,16100000,7000000, Approved
351,6700000,15800000,4,445,10500000,9100000, Rejected
352,7300000,28700000,14,634,5900000,10800000, Approved
353,3300000,9700000,14,782,2500000,2200000, Approved
354,3000000,7000000,10,781,7200000,2700000, Approved
355,7900000,17200000,14,318,14200000,9000000, Rejected
356,7600000,24100000,18,721,21900000,7200000, Approved
357,3700000,9800000,4,563,9500000,3000000, Approved
358,8400000,26300000,4,419,22900000,6200000, Approved
359,8200000,20800000,14,372,3800000,5200000, Rejected
360,2900000,9500000,18,885,4300000,3500000, Approved
361,9900000,38400000,12,596,10000000,6800000, Approved
362,4400000,14100000,2,349,3300000,6200000, Approved
363,9000000,32200000,16,468,4500000,10900000, Rejected
364,6800000,26900000,16,818,14700000,7300000, Approved
365,8700000,28000000,12,543,16900000,6700000, Rejected
366,9400000,21900000,16,685,8100000,5000000, Approved
367,6000000,12500000,18,851,14600000,5000000, Approved
368,9400000,29800000,10,377,24100000,11700000, Rejected
369,1000000,4000000,10,620,2400000,1100000, Approved
370,900000,2300000,20,611,600000,500000, Approved
371,2100000,7700000,4,767,1200000,1300000, Approved
372,1100000,3200000,20,592,3200000,500000, Approved
373,600000,2300000,4,319,1600000,700000, Approved
374,9200000,25500000,10,900,9400000,12800000, Approved
375,3600000,12800000,18,814,8600000,4100000, Approved
376,1300000,5000000,10,755,2100000,1900000, Approved
377,7700000,16800000,20,584,8600000,8000000, Approved
378,9500000,23500000,14,380,22900000,7300000, Rejected
379,5000000,17600000,20,465,6200000,5200000, Rejected
380,500000,1800000,2,531,1300000,700000, Approved
381,8300000,32100000,16,814,18500000,7500000, Approved
382,5300000,17900000,6,678,4700000,3600000, Approved
383,9300000,29000000,12,655,7900000,4900000, Approved
384,2300000,7400000,2,682,6500000,2100000, Approved
385,400000,1300000,6,695,200000,100000, Approved
386,3200000,10800000,4,833,2600000,2600000, Approved
387,9400000,35300000,16,302,4100000,12900000, Rejected
388,2300000,6600000,2,357,5900000,2200000, Rejected
389,4300000,14500000,12,302,12500000,5100000, Rejected
390,6200000,22400000,18,873,15700000,8200000, Approved
391,7200000,19800000,12,658,12700000,7300000, Approved
392,2400000,8700000,18,877,2800000,1100000, Approved
393,2900000,6300000,8,648,3400000,1400000, Approved
394,1400000,5200000,12,730,2900000,700000, Approved
395,2200000,8200000,14,737,5800000,1400000, Approved
396,800000,3200000,10,584,0,700000, Rejected
397,600000,1700000,2,621,400000,200000, Approved
398,700000,2700000,16,583,1100000,300000, Approved
399,8400000,25900000,16,621,8600000,4200000, Approved
400,7100000,21500000,16,610,5800000,9300000, Approved
401,5400000,15700000,18,452,13700000,6600000, Rejected
402,3700000,7300000,18,339,9300000,5300000, Rejected
403,5200000,15200000,16,650,1300000,4100000, Approved
404,200000,700000,10,672,200000,300000, Approved
405,500000,1000000,20,501,800000,200000, Rejected
406,1800000,5700000,4,809,1200000,2400000, Approved
407,9200000,29400000,8,318,18000000,5400000, Rejected
408,900000,3300000,10,649,0,1200000, Approved
409,7500000,28300000,12,367,9200000,7000000, Rejected
410,3000000,11800000,6,847,8200000,2300000, Approved
411,7100000,18900000,12,360,10700000,8500000, Rejected
412,3500000,7200000,2,865,4100000,4200000, Approved
413,4900000,18800000,16,880,4200000,2600000, Approved
414,4100000,8400000,20,608,1400000,4400000, Approved
415,800000,2100000,6,760,300000,600000, Approved
416,1700000,4600000,12,385,1500000,1700000, Rejected
417,6100000,23300000,12,478,3800000,4900000, Rejected
418,2100000,7700000,16,327,5000000,2300000, Rejected
419,3100000,9300000,6,663,1300000,3800000, Approved
420,1700000,3500000,20,693,2200000,1700000, Approved
421,1700000,5400000,6,710,4800000,1700000, Approved
422,4000000,14500000,6,711,2400000,4100000, Approved
423,5600000,18400000,8,386,11300000,5600000, Rejected
424,3900000,11900000,10,855,10200000,2800000, Approved
425,6100000,15300000,14,573,1100000,8400000, Approved
426,1100000,2800000,18,431,500000,1400000, Rejected
427,5500000,14800000,8,364,13000000,4500000, Rejected
428,1100000,3600000,14,711,2500000,600000, Approved
429,400000,900000,20,771,1000000,500000, Approved
430,9200000,36400000,18,669,3100000,12300000, Approved
431,9300000,27500000,18,338,21500000,6600000, Rejected
432,1100000,3500000,8,562,2300000,500000, Approved
433,5600000,18700000,2,769,8000000,4800000, Approved
434,6300000,21500000,8,629,600000,5200000, Approved
435,8800000,18100000,6,699,6400000,9400000, Approved
436,8400000,20800000,20,590,5100000,10800000, Approved
437,1600000,5700000,4,707,3300000,2300000, Approved
438,4500000,11400000,8,391,8500000,4500000, Rejected
439,6500000,18500000,4,891,13600000,7100000, Approved
440,9500000,20600000,2,731,13400000,9200000, Approved
441,4700000,16700000,12,775,4000000,3500000, Approved
442,9600000,32400000,2,897,3500000,6200000, Approved
443,8000000,26700000,20,794,8000000,7800000, Approved
444,7700000,16700000,6,555,12900000,8500000, Approved
445,3600000,10300000,12,536,6800000,2700000, Rejected
446,700000,1700000,10,839,100000,900000, Approved
447,1400000,5100000,6,890,4100000,1900000, Approved
448,8600000,27900000,20,415,12200000,7900000, Rejected
449,4700000,15700000,4,868,3300000,4800000, Approved
450,2900000,5800000,12,353,8400000,3100000, Rejected
451,9000000,29000000,16,590,4600000,12300000, Approved
452,500000,900000,18,618,1400000,400000, Approved
453,700000,1700000,10,539,1400000,900000, Rejected
454,6800000,27000000,4,429,17100000,9400000, Approved
455,1800000,4700000,8,792,4500000,2200000, Approved
456,6000000,12400000,2,608,3000000,6800000, Approved
457,5400000,21500000,14,555,4300000,7500000, Approved
458,8400000,17500000,12,620,15300000,5800000, Approved
459,7400000,20900000,6,635,15600000,7200000, Approved
460,3200000,12500000,10,457,6100000,4300000, Rejected
461,5400000,21400000,8,350,2600000,6800000, Rejected
462,1000000,2500000,14,885,2200000,1100000, Approved
463,4400000,14700000,16,638,4000000,2700000, Approved
464,3800000,10500000,12,710,1800000,2500000, Approved
465,6100000,20900000,18,470,500000,7500000, Rejected
466,5500000,17300000,16,874,1000000,7900000, Approved
467,500000,1800000,18,411,1000000,200000, Rejected
468,300000,1100000,2,482,200000,400000, Approved
469,6200000,16900000,2,396,10600000,7600000, Rejected
470,300000,900000,20,436,0,200000, Rejected
471,6900000,22100000,20,303,13600000,6900000, Rejected
472,3700000,11400000,12,728,4200000,2300000, Approved
473,8800000,28600000,10,775,5200000,9600000, Approved
474,8200000,23500000,12,402,15100000,5800000, Rejected
475,9200000,31500000,18,698,5300000,8300000, Approved
476,2400000,7800000,14,665,5200000,2900000, Approved
477,4100000,13500000,18,490,4700000,2000000, Rejected
478,8000000,31900000,12,504,23800000,6000000, Rejected
479,3600000,8600000,8,790,5400000,5200000, Approved
480,700000,2700000,20,669,100000,500000, Approved
481,8300000,30700000,6,381,21700000,4600000, Rejected
482,5300000,15000000,2,900,1700000,5800000, Approved
483,8300000,24900000,16,506,15400000,7000000, Rejected
484,2500000,8800000,12,538,4900000,3300000, Rejected
485,5400000,14400000,8,677,11000000,3100000, Approved
486,1600000,4900000,8,685,3200000,1500000, Approved
487,2400000,6200000,12,860,4900000,1100000, Approved
488,6300000,14800000,6,608,16100000,5400000, Approved
489,2500000,5300000,10,540,2300000,1700000, Rejected
490,7500000,16800000,16,492,21500000,11100000, Rejected
491,2900000,8500000,14,834,1200000,1800000, Approved
492,1000000,3500000,16,834,800000,700000, Approved
493,8600000,28800000,8,890,23300000,7200000, Approved
494,300000,1100000,12,443,600000,200000, Rejected
495,2300000,5700000,18,329,5600000,2700000, Rejected
496,2400000,5400000,12,739,300000,3000000, Approved
497,9800000,30300000,6,867,20800000,7600000, Approved
498,8100000,24800000,6,307,200000,10500000, Rejected
499,6700000,15500000,18,492,2100000,9400000, Rejected
500,8400000,24700000,18,698,23000000,12200000, Approved
501,200000,700000,8,851,400000,200000, Approved
502,4700000,12500000,14,375,1300000,5400000, Rejected
503,4300000,14300000,14,601,3800000,5700000, Approved
504,2200000,7000000,20,756,3600000,1200000, Approved
505,8600000,19200000,4,868,20400000,9300000, Approved
506,2000000,7200000,10,838,2500000,1000000, Approved
507,4200000,15900000,14,375,7200000,3000000, Rejected
508,5100000,12500000,18,778,3300000,3200000, Approved
509,4100000,11200000,6,442,12200000,4500000, Rejected
510,9900000,39500000,12,808,11800000,13500000, Approved
511,3200000,9000000,20,372,2700000,3800000, Rejected
512,5500000,19000000,4,597,1100000,5300000, Approved
513,7800000,29100000,20,435,21100000,9700000, Rejected
514,3400000,9700000,20,728,1500000,2400000, Approved
515,7900000,25900000,14,373,10900000,7600000, Rejected
516,8900000,18500000,10,367,6100000,10300000, Rejected
517,7300000,19100000,14,552,2000000,4000000, Approved
518,3300000,10600000,8,465,500000,2800000, Rejected
519,2900000,10500000,8,607,4400000,3800000, Approved
520,500000,1300000,4,427,1400000,600000, Rejected
521,7200000,21200000,4,711,10800000,5700000, Approved
522,8300000,24100000,14,823,5900000,7700000, Approved
523,8700000,20500000,6,523,19300000,4800000, Rejected
524,7100000,27900000,10,328,9000000,7700000, Rejected
525,9800000,28200000,12,721,15800000,9600000, Approved
526,6900000,17000000,20,599,18100000,4300000, Approved
527,2400000,5000000,14,580,5900000,3200000, Approved
528,2100000,4900000,10,744,200000,1000000, Approved
529,7200000,23900000,4,559,4200000,10800000, Approved
530,4600000,13500000,16,587,7700000,5000000, Approved
531,9900000,31800000,18,817,23400000,11500000, Approved
532,300000,1000000,20,655,0,400000, Approved
533,6900000,23900000,6,382,17100000,8900000, Rejected
534,1700000,4300000,6,765,5000000,900000, Approved
535,4400000,10000000,20,516,7400000,5100000, Rejected
